"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSUMAG00000005231"," NLRP6","ENSUMAG00000005231",103671082,"protein_coding","Polar bear","KK498651.1",0.093847,"NLR family pyrin domain containing 6 [Source:NCBI gene;Acc:103671082]",61.22,1,7401,2388,2388,NA,NA,6
"ENSUMAG00000007911"," ","ENSUMAG00000007911",103656258,"protein_coding","Polar bear","KK499648.1",0.09863,"olfactory receptor 145-like [Source:NCBI gene;Acc:103656258]",44.16,1,933,933,933,NA,NA,1
"ENSUMAG00000022448"," ","ENSUMAG00000022448",103662273,"protein_coding","Polar bear","KK498590.1",0.115847,"olfactory receptor 147-like [Source:NCBI gene;Acc:103662273]",42.03,1,19173,948,948,NA,NA,2
"ENSUMAG00000005773"," SLC49A3","ENSUMAG00000005773",103676374,"protein_coding","Polar bear","KK498529.1",0.12686,"solute carrier family 49 member 3 [Source:NCBI gene;Acc:103676374]",60.83,1,5887,1503,2503,NA,1000,9
"ENSUMAG00000025639"," ARFGEF1","ENSUMAG00000025639",103680782,"protein_coding","Polar bear","KK499101.1",0.127507,"ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:NCBI gene;Acc:103680782]",36.25,8,102230,4816,5012,170,1062,34
"ENSUMAG00000007922"," OR8D1","ENSUMAG00000007922",103656262,"protein_coding","Polar bear","KK499648.1",0.140173,"olfactory receptor 8D1 [Source:NCBI gene;Acc:103656262]",47.68,1,927,927,927,NA,NA,1
"ENSUMAG00000005551"," MCTP1","ENSUMAG00000005551",103672187,"protein_coding","Polar bear","KK498658.1",0.143476,"multiple C2 and transmembrane domain containing 1 [Source:NCBI gene;Acc:103672187]",38.34,1,329989,2295,4302,493,1514,22
"ENSUMAG00000012308"," ","ENSUMAG00000012308",103664177,"protein_coding","Polar bear","KK498599.1",0.143631,"BEN domain containing 7 [Source:NCBI gene;Acc:103664177]",44.7,3,74321,1232,1255,34,NA,8
"ENSUMAG00000007486"," CAMKK1","ENSUMAG00000007486",103667125,"protein_coding","Polar bear","KK498618.1",0.162703,"calcium/calmodulin dependent protein kinase kinase 1 [Source:NCBI gene;Acc:103667125]",51.98,1,20380,1524,1524,NA,NA,15
"ENSUMAG00000000981"," ABI1","ENSUMAG00000000981",103680142,"protein_coding","Polar bear","KK498823.1",0.165961,"abl interactor 1 [Source:NCBI gene;Acc:103680142]",36.92,5,121319,1259,1259,NA,NA,9
"ENSUMAG00000005071"," ","ENSUMAG00000005071",103681578,"protein_coding","Polar bear","KK499441.1",0.168863,"olfactory receptor-like protein OLF4 [Source:NCBI gene;Acc:103681578]",46.84,1,1029,1029,1029,NA,NA,1
"ENSUMAG00000022938"," ETHE1","ENSUMAG00000022938",103657004,"protein_coding","Polar bear","KK498533.1",0.176444,"ETHE1 persulfide dioxygenase [Source:NCBI gene;Acc:103657004]",46.4,2,17329,718,788,NA,140,6
"ENSUMAG00000007928"," OR8G5","ENSUMAG00000007928",103656264,"protein_coding","Polar bear","KK499648.1",0.189299,"olfactory receptor 8G5-like [Source:NCBI gene;Acc:103656264]",46.69,1,936,936,936,NA,NA,1
"ENSUMAG00000024611"," OR52N5","ENSUMAG00000024611",103680038,"protein_coding","Polar bear","KK498809.1",0.205123,"olfactory receptor 52N5 [Source:NCBI gene;Acc:103680038]",43.7,1,1190,966,1190,168,56,1
"ENSUMAG00000024594"," SSC5D","ENSUMAG00000024594",103680297,"protein_coding","Polar bear","KK498848.1",0.220567,"scavenger receptor cysteine rich family member with 5 domains [Source:NCBI gene;Acc:103680297]",54.47,3,20890,2249,2249,NA,NA,8
"ENSUMAG00000007021"," CEP192","ENSUMAG00000007021",103673353,"protein_coding","Polar bear","KK498674.1",0.22508,"centrosomal protein 192 [Source:NCBI gene;Acc:103673353]",38.98,6,129643,6586,6586,NA,NA,39
"ENSUMAG00000015456"," IARS1","ENSUMAG00000015456",103663160,"protein_coding","Polar bear","KK498595.1",0.241412,"isoleucyl-tRNA synthetase 1 [Source:NCBI gene;Acc:103663160]",46.76,2,57328,3630,3938,7,302,32
"ENSUMAG00000007947"," OR10D3","ENSUMAG00000007947",103656265,"protein_coding","Polar bear","KK499648.1",0.248055,"putative olfactory receptor 10D3 [Source:NCBI gene;Acc:103656265]",48.35,1,939,939,939,NA,NA,1
"ENSUMAG00000017778"," IL34","ENSUMAG00000017778",103673577,"protein_coding","Polar bear","KK498676.1",0.285412,"interleukin 34 [Source:NCBI gene;Acc:103673577]",48.93,2,51850,711,2604,382,1129,7
"ENSUMAG00000022464"," ZNF202","ENSUMAG00000022464",103662279,"protein_coding","Polar bear","KK498590.1",0.292398,"zinc finger protein 202 [Source:NCBI gene;Acc:103662279]",50.38,1,6754,1944,3697,103,1650,6
"ENSUMAG00000025330"," PFKFB2","ENSUMAG00000025330",103657667,"protein_coding","Polar bear","KK498538.1",0.303454,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:NCBI gene;Acc:103657667]",47.24,3,24549,1446,3031,160,1897,15
"ENSUMAG00000005424"," KIF6","ENSUMAG00000005424",103680881,"protein_coding","Polar bear","KK499182.1",0.31954,"kinesin family member 6 [Source:NCBI gene;Acc:103680881]",41.17,4,408289,2125,2125,NA,NA,18
"ENSUMAG00000001329"," PANX3","ENSUMAG00000001329",103660608,"protein_coding","Polar bear","KK498571.1",0.32134,"pannexin 3 [Source:NCBI gene;Acc:103660608]",49.42,1,6623,1179,1179,NA,NA,4
"ENSUMAG00000016506"," RNF144B","ENSUMAG00000016506",103664876,"protein_coding","Polar bear","KK498605.1",0.32527,"ring finger protein 144B [Source:NCBI gene;Acc:103664876]",42.85,1,71690,1026,1375,349,NA,8
"ENSUMAG00000022960"," JAKMIP1","ENSUMAG00000022960",103658342,"protein_coding","Polar bear","KK498546.1",0.328512,"janus kinase and microtubule interacting protein 1 [Source:NCBI gene;Acc:103658342]",52.93,4,115464,1495,1640,176,230,14
"ENSUMAG00000013944"," ATP12A","ENSUMAG00000013944",103664389,"protein_coding","Polar bear","KK498601.1",0.333578,"ATPase H+/K+ transporting non-gastric alpha2 subunit [Source:NCBI gene;Acc:103664389]",43.22,1,22241,2922,2922,NA,NA,21
"ENSUMAG00000012339"," FRMD4A","ENSUMAG00000012339",103664238,"protein_coding","Polar bear","KK498599.1",0.340835,"FERM domain-containing protein 4A [Source:NCBI gene;Acc:103664238]",48.09,1,171050,2295,2295,NA,NA,23
"ENSUMAG00000004934"," USP22","ENSUMAG00000004934",103658484,"protein_coding","Polar bear","KK498548.1",0.344609,"ubiquitin specific peptidase 22 [Source:NCBI gene;Acc:103658484]",53.59,4,26822,1440,1566,252,NA,13
"ENSUMAG00000001375"," SIAE","ENSUMAG00000001375",103660609,"protein_coding","Polar bear","KK498571.1",0.345405,"sialic acid acetylesterase [Source:NCBI gene;Acc:103660609]",44.4,1,36776,1578,1578,NA,NA,10
"ENSUMAG00000007794"," CCDC59","ENSUMAG00000007794",103656244,"protein_coding","Polar bear","KK499636.1",0.353771,"coiled-coil domain containing 59 [Source:NCBI gene;Acc:103656244]",40.2,1,4612,639,1639,940,60,3
"ENSUMAG00000020694"," GCC2","ENSUMAG00000020694",103670654,"protein_coding","Polar bear","KK498647.1",0.356564,"GRIP and coiled-coil domain containing 2 [Source:NCBI gene;Acc:103670654]",36.04,1,53463,4929,6002,128,816,22
"ENSUMAG00000022471"," SCN3B","ENSUMAG00000022471",103662280,"protein_coding","Polar bear","KK498590.1",0.357133,"sodium voltage-gated channel beta subunit 3 [Source:NCBI gene;Acc:103662280]",47.17,2,19110,648,885,118,NA,6
"ENSUMAG00000007799"," METTL25","ENSUMAG00000007799",103656243,"protein_coding","Polar bear","KK499636.1",0.357214,"methyltransferase like 25 [Source:NCBI gene;Acc:103656243]",35.83,3,124611,1510,2142,415,189,9
"ENSUMAG00000001935"," DCBLD2","ENSUMAG00000001935",103673278,"protein_coding","Polar bear","KK498672.1",0.369541,"discoidin, CUB and LCCL domain containing 2 [Source:NCBI gene;Acc:103673278]",37.39,1,60809,2010,2123,113,NA,15
"ENSUMAG00000019207"," WNK3","ENSUMAG00000019207",103681293,"protein_coding","Polar bear","KK499355.1",0.371252,"WNK lysine deficient protein kinase 3 [Source:NCBI gene;Acc:103681293]",36.36,2,133796,5331,5331,NA,NA,22
"ENSUMAG00000007370"," KLHDC2","ENSUMAG00000007370",103665502,"protein_coding","Polar bear","KK498515.1",0.378722,"kelch domain containing 2 [Source:NCBI gene;Acc:103665502]",41.66,5,11674,1108,1108,NA,NA,12
"ENSUMAG00000022493"," GRAMD1B","ENSUMAG00000022493",103662281,"protein_coding","Polar bear","KK498590.1",0.381862,"GRAM domain containing 1B [Source:NCBI gene;Acc:103662281]",48.1,3,232082,2295,3624,215,557,20
"ENSUMAG00000001382"," SPA17","ENSUMAG00000001382",103660612,"protein_coding","Polar bear","KK498571.1",0.382043,"sperm autoantigenic protein 17 [Source:NCBI gene;Acc:103660612]",38.46,1,12357,456,1072,217,182,5
"ENSUMAG00000001380"," KCNQ3","ENSUMAG00000001380",103656745,"protein_coding","Polar bear","KK499743.1",0.393681,"potassium voltage-gated channel subfamily Q member 3 [Source:NCBI gene;Acc:103656745]",49.95,1,49744,2376,2376,NA,NA,15
"ENSUMAG00000002177"," TRPV4","ENSUMAG00000002177",103678292,"protein_coding","Polar bear","KK498748.1",0.393967,"transient receptor potential cation channel subfamily V member 4 [Source:NCBI gene;Acc:103678292]",56.85,4,24424,2386,2386,NA,NA,14
"ENSUMAG00000007434"," KLHDC1","ENSUMAG00000007434",103665528,"protein_coding","Polar bear","KK498515.1",0.394742,"kelch domain containing 1 [Source:NCBI gene;Acc:103665528]",37.51,1,44821,1203,1956,115,638,13
"ENSUMAG00000007813"," TRPV1","ENSUMAG00000007813",103667135,"protein_coding","Polar bear","KK498618.1",0.395508,"transient receptor potential cation channel subfamily V member 1 [Source:NCBI gene;Acc:103667135]",45.09,2,27833,2451,2451,NA,NA,14
"ENSUMAG00000005134"," GPR39","ENSUMAG00000005134",NA,"protein_coding","Polar bear","KK498623.1",0.446476,"G protein-coupled receptor 39 [Source:HGNC Symbol;Acc:HGNC:4496]",46.04,2,191614,1300,1300,NA,NA,3
"ENSUMAG00000007457"," POLE2","ENSUMAG00000007457",103666285,"protein_coding","Polar bear","KK498515.1",0.450538,"DNA polymerase epsilon 2, accessory subunit [Source:NCBI gene;Acc:103666285]",40.42,3,26163,1500,1500,NA,NA,17
"ENSUMAG00000001398"," MSANTD2","ENSUMAG00000001398",103660616,"protein_coding","Polar bear","KK498571.1",0.457034,"Myb/SANT DNA binding domain containing 2 [Source:NCBI gene;Acc:103660616]",41.63,1,6974,1014,1629,156,459,3
"ENSUMAG00000014759"," MYO18B","ENSUMAG00000014759",103659223,"protein_coding","Polar bear","KK498557.1",0.477995,"myosin XVIIIB [Source:NCBI gene;Acc:103659223]",50.64,2,229950,4946,4946,NA,NA,29
"ENSUMAG00000017284"," MFSD2A","ENSUMAG00000017284",103682397,"protein_coding","Polar bear","KK499573.1",0.478698,"major facilitator superfamily domain containing 2A [Source:NCBI gene;Acc:103682397]",53.48,1,12820,1575,4237,646,2016,13
"ENSUMAG00000018365"," PREX2","ENSUMAG00000018365",103681274,"protein_coding","Polar bear","KK499352.1",0.512444,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2 [Source:NCBI gene;Acc:103681274]",37.73,7,207428,4491,4491,NA,NA,37
"ENSUMAG00000017294"," FBXL20","ENSUMAG00000017294",103661433,"protein_coding","Polar bear","KK498512.1",0.525176,"F-box and leucine rich repeat protein 20 [Source:NCBI gene;Acc:103661433]",39.68,2,44776,1272,1968,20,676,14
"ENSUMAG00000015868"," PISD","ENSUMAG00000015868",103681079,"protein_coding","Polar bear","KK499304.1",0.531071,"phosphatidylserine decarboxylase [Source:NCBI gene;Acc:103681079]",48.9,1,41769,999,2570,166,1072,8
"ENSUMAG00000012256"," CUX1","ENSUMAG00000012256",103670202,"protein_coding","Polar bear","KK498642.1",0.616908,"cut like homeobox 1 [Source:NCBI gene;Acc:103670202]",52.06,8,285517,2954,2954,NA,NA,21
"ENSUMAG00000024813"," ADSS1","ENSUMAG00000024813",103676912,"protein_coding","Polar bear","KK498721.1",0.623165,"adenylosuccinate synthase 1 [Source:NCBI gene;Acc:103676912]",63.93,1,21807,1398,1398,NA,NA,14
"ENSUMAG00000001650"," MYO3A","ENSUMAG00000001650",103680152,"protein_coding","Polar bear","KK498823.1",0.62913,"myosin IIIA [Source:NCBI gene;Acc:103680152]",38.61,3,215882,2394,2394,NA,NA,19
"ENSUMAG00000022996"," EVC","ENSUMAG00000022996",103658344,"protein_coding","Polar bear","KK498546.1",0.638203,"EvC ciliary complex subunit 1 [Source:NCBI gene;Acc:103658344]",52.35,2,59297,2850,2850,NA,NA,22
"ENSUMAG00000017319"," PPIE","ENSUMAG00000017319",103682400,"protein_coding","Polar bear","KK499573.1",0.657261,"peptidylprolyl isomerase E [Source:NCBI gene;Acc:103682400]",51.17,4,14720,956,1327,20,339,10
"ENSUMAG00000006481"," SNTG1","ENSUMAG00000006481",103677398,"protein_coding","Polar bear","KK498737.1",0.6736,"syntrophin gamma 1 [Source:NCBI gene;Acc:103677398]",34.62,1,296163,1548,1548,NA,NA,17
"ENSUMAG00000011472"," CASQ2","ENSUMAG00000011472",103669415,"protein_coding","Polar bear","KK498638.1",0.674992,"calsequestrin 2 [Source:NCBI gene;Acc:103669415]",45.55,1,61770,1236,3152,916,1000,11
"ENSUMAG00000023028"," EVC2","ENSUMAG00000023028",103658345,"protein_coding","Polar bear","KK498546.1",0.713087,"EvC ciliary complex subunit 2 [Source:NCBI gene;Acc:103658345]",49.27,4,104787,3488,3488,NA,NA,19
"ENSUMAG00000003224"," C1RL","ENSUMAG00000003224",103656174,"protein_coding","Polar bear","KK499633.1",0.721308,"complement C1r subcomponent like [Source:NCBI gene;Acc:103656174]",49.74,1,12315,1476,3142,280,1386,6
"ENSUMAG00000000267"," TEX11","ENSUMAG00000000267",103682621,"protein_coding","Polar bear","KK499613.1",0.729447,"testis expressed 11 [Source:NCBI gene;Acc:103682621]",36.87,1,259270,2622,2905,97,186,28
"ENSUMAG00000002332"," LRP6","ENSUMAG00000002332",103677754,"protein_coding","Polar bear","KK498741.1",0.764829,"LDL receptor related protein 6 [Source:NCBI gene;Acc:103677754]",36.3,1,143091,4389,4847,229,NA,22
"ENSUMAG00000013891"," GPATCH8","ENSUMAG00000013891",NA,"protein_coding","Polar bear","KK498611.1",0.766297,"G-patch domain containing 8 [Source:HGNC Symbol;Acc:HGNC:29066]",38.81,3,71646,4230,5348,65,970,6
"ENSUMAG00000013993"," PSPC1","ENSUMAG00000013993",103664269,"protein_coding","Polar bear","KK498601.1",0.771044,"paraspeckle component 1 [Source:NCBI gene;Acc:103664269]",35.3,2,98184,1269,1895,626,NA,8
"ENSUMAG00000025038"," STAT3","ENSUMAG00000025038",103672573,"protein_coding","Polar bear","KK498661.1",0.840739,"signal transducer and activator of transcription 3 [Source:NCBI gene;Acc:103672573]",45.96,1,27348,2517,3336,34,785,23
"ENSUMAG00000023066"," STK32B","ENSUMAG00000023066",103658346,"protein_coding","Polar bear","KK498546.1",0.852541,"serine/threonine kinase 32B [Source:NCBI gene;Acc:103658346]",45.8,2,275135,1058,1058,NA,NA,10
"ENSUMAG00000010353"," ZNF577","ENSUMAG00000010353",103657318,"protein_coding","Polar bear","KK498534.1",0.863912,"zinc finger protein 577 [Source:NCBI gene;Acc:103657318]",40.93,2,17318,1596,2438,164,439,6
"ENSUMAG00000019165"," ACTN4","ENSUMAG00000019165",103661071,"protein_coding","Polar bear","KK498574.1",0.881362,"actinin alpha 4 [Source:NCBI gene;Acc:103661071]",54.55,3,68863,2510,2517,6,1,20
"ENSUMAG00000011047"," OTOL1","ENSUMAG00000011047",103677185,"protein_coding","Polar bear","KK498530.1",0.895512,"otolin 1 [Source:NCBI gene;Acc:103677185]",42.93,1,9038,1425,1425,NA,NA,4
"ENSUMAG00000022529"," JHY","ENSUMAG00000022529",103662285,"protein_coding","Polar bear","KK498590.1",0.932584,"junctional cadherin complex regulator [Source:NCBI gene;Acc:103662285]",42.55,1,54402,2130,2565,172,263,8
"ENSUMAG00000009553"," RB1CC1","ENSUMAG00000009553",103677420,"protein_coding","Polar bear","KK498738.1",0.965589,"RB1 inducible coiled-coil 1 [Source:NCBI gene;Acc:103677420]",34.94,1,65352,4782,5357,188,200,23
"ENSUMAG00000008683"," PTPRJ","ENSUMAG00000008683",103672299,"protein_coding","Polar bear","KK498659.1",0.995337,"protein tyrosine phosphatase receptor type J [Source:NCBI gene;Acc:103672299]",44.87,4,49681,3568,3568,NA,NA,22
"ENSUMAG00000011050"," SPTSSB","ENSUMAG00000011050",103677196,"protein_coding","Polar bear","KK498530.1",1.014137,"serine palmitoyltransferase small subunit B [Source:NCBI gene;Acc:103677196]",40.69,1,231,231,231,NA,NA,1
"ENSUMAG00000021398"," TLL2","ENSUMAG00000021398",103658792,"protein_coding","Polar bear","KK498509.1",1.037994,"tolloid like 2 [Source:NCBI gene;Acc:103658792]",47.72,3,96282,2960,2960,NA,NA,20
"ENSUMAG00000024266"," TSHZ2","ENSUMAG00000024266",NA,"protein_coding","Polar bear","KK498640.1",1.038226,"teashirt zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:13010]",51.54,1,5937,3129,3129,NA,NA,2
"ENSUMAG00000025048"," RETREG3","ENSUMAG00000025048",103672580,"protein_coding","Polar bear","KK498661.1",1.043871,"reticulophagy regulator family member 3 [Source:NCBI gene;Acc:103672580]",44.47,1,21168,1401,2496,95,1000,9
"ENSUMAG00000022541"," UBASH3B","ENSUMAG00000022541",103662488,"protein_coding","Polar bear","KK498590.1",1.044345,"ubiquitin associated and SH3 domain containing B [Source:NCBI gene;Acc:103662488]",47.34,4,30629,1818,1818,NA,NA,13
"ENSUMAG00000015561"," HPS4","ENSUMAG00000015561",103659258,"protein_coding","Polar bear","KK498557.1",1.064351,"HPS4 biogenesis of lysosomal organelles complex 3 subunit 2 [Source:NCBI gene;Acc:103659258]",52.12,1,20953,1974,3149,715,460,12
"ENSUMAG00000017625"," CAP2","ENSUMAG00000017625",103664885,"protein_coding","Polar bear","KK498605.1",1.068903,"cyclase associated actin cytoskeleton regulatory protein 2 [Source:NCBI gene;Acc:103664885]",42.12,1,105466,1428,2074,263,383,12
"ENSUMAG00000024168"," EFCAB8","ENSUMAG00000024168",NA,"protein_coding","Polar bear","KK498684.1",1.069196,"EF-hand calcium binding domain 8 [Source:HGNC Symbol;Acc:HGNC:34532]",50.17,1,56667,3645,3645,NA,NA,26
"ENSUMAG00000021673"," GALNTL6","ENSUMAG00000021673",103675917,"protein_coding","Polar bear","KK498705.1",1.079793,"polypeptide N-acetylgalactosaminyltransferase like 6 [Source:NCBI gene;Acc:103675917]",40.75,1,200478,1224,1224,NA,NA,8
"ENSUMAG00000012362"," ","ENSUMAG00000012362",103664184,"protein_coding","Polar bear","KK498599.1",1.084531,"family with sequence similarity 107 member B [Source:NCBI gene;Acc:103664184]",43.06,1,13410,540,905,54,311,4
"ENSUMAG00000010418"," PPP2R1A","ENSUMAG00000010418",103657330,"protein_coding","Polar bear","KK498534.1",1.095637,"protein phosphatase 2 scaffold subunit Aalpha [Source:NCBI gene;Acc:103657330]",51.17,1,38338,1770,2387,140,477,15
"ENSUMAG00000017460"," LDLRAD3","ENSUMAG00000017460",103659421,"protein_coding","Polar bear","KK498561.1",1.106786,"low density lipoprotein receptor class A domain containing 3 [Source:NCBI gene;Acc:103659421]",49.05,2,205215,912,1086,87,NA,6
"ENSUMAG00000001813"," GPR158","ENSUMAG00000001813",103680148,"protein_coding","Polar bear","KK498823.1",1.108494,"G protein-coupled receptor 158 [Source:NCBI gene;Acc:103680148]",36.4,2,433297,3483,3483,NA,NA,13
"ENSUMAG00000021395"," ","ENSUMAG00000021395",NA,"protein_coding","Polar bear","KK498768.1",1.182362,"",47.16,2,202281,508,1716,219,988,4
"ENSUMAG00000004235"," OTOGL","ENSUMAG00000004235",103680857,"protein_coding","Polar bear","KK499171.1",1.26461,"otogelin like [Source:NCBI gene;Acc:103680857]",36.3,3,121908,6822,6822,NA,NA,53
"ENSUMAG00000005302"," IQGAP2","ENSUMAG00000005302",103663860,"protein_coding","Polar bear","KK498597.1",1.275895,"IQ motif containing GTPase activating protein 2 [Source:NCBI gene;Acc:103663860]",41.29,10,233844,4866,4866,NA,NA,34
"ENSUMAG00000012475"," CA10","ENSUMAG00000012475",103660236,"protein_coding","Polar bear","KK498511.1",1.321364,"carbonic anhydrase 10 [Source:NCBI gene;Acc:103660236]",43.45,1,486130,987,1805,411,407,9
"ENSUMAG00000007823"," AFF3","ENSUMAG00000007823",103671746,"protein_coding","Polar bear","KK498653.1",1.360033,"AF4/FMR2 family member 3-like [Source:NCBI gene;Acc:103671746]",41.29,1,193529,2550,2550,NA,NA,15
"ENSUMAG00000023339"," OTUD7A","ENSUMAG00000023339",103660028,"protein_coding","Polar bear","KK498563.1",1.36043,"OTU deubiquitinase 7A [Source:NCBI gene;Acc:103660028]",42.87,3,171706,1875,1875,NA,NA,12
"ENSUMAG00000006150"," TRAF3","ENSUMAG00000006150",103656774,"protein_coding","Polar bear","KK499745.1",1.365834,"TNF receptor associated factor 3 [Source:NCBI gene;Acc:103656774]",46.28,3,48504,1626,1769,72,NA,10
"ENSUMAG00000015777"," ","ENSUMAG00000015777",103656490,"protein_coding","Polar bear","KK499694.1",1.366561,"WW domain containing adaptor with coiled-coil [Source:NCBI gene;Acc:103656490]",35.63,2,78204,1786,1786,NA,NA,12
"ENSUMAG00000007501"," PLEKHG6","ENSUMAG00000007501",103656235,"protein_coding","Polar bear","KK499633.1",1.398519,"pleckstrin homology and RhoGEF domain containing G6 [Source:NCBI gene;Acc:103656235]",54.04,1,14054,2367,2367,NA,NA,13
"ENSUMAG00000013850"," EPHA6","ENSUMAG00000013850",103662014,"protein_coding","Polar bear","KK498585.1",1.415853,"EPH receptor A6 [Source:NCBI gene;Acc:103662014]",35.02,2,813167,2248,2248,NA,NA,13
"ENSUMAG00000001691"," ST3GAL1","ENSUMAG00000001691",103656747,"protein_coding","Polar bear","KK499743.1",1.459422,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:NCBI gene;Acc:103656747]",57.93,2,14673,758,758,NA,NA,6
"ENSUMAG00000011544"," FRMPD1","ENSUMAG00000011544",103678485,"protein_coding","Polar bear","KK498754.1",1.466388,"FERM and PDZ domain containing 1 [Source:NCBI gene;Acc:103678485]",45.13,1,51286,4695,4695,NA,NA,16
"ENSUMAG00000024178"," ASXL1","ENSUMAG00000024178",103674469,"protein_coding","Polar bear","KK498684.1",1.470714,"ASXL transcriptional regulator 1 [Source:NCBI gene;Acc:103674469]",40.73,3,72753,4495,4495,NA,NA,12
"ENSUMAG00000018646"," ","ENSUMAG00000018646",103664617,"protein_coding","Polar bear","KK498513.1",1.476264,"thioredoxin domain containing 2 [Source:NCBI gene;Acc:103664617]",47.42,1,1921,1590,1590,NA,NA,3
"ENSUMAG00000025192"," ","ENSUMAG00000025192",103678752,"protein_coding","Polar bear","KK498756.1",1.487335,"rhophilin associated tail protein 1 [Source:NCBI gene;Acc:103678752]",45.66,1,12770,639,1444,664,141,5
"ENSUMAG00000006145"," TNNT3","ENSUMAG00000006145",103671052,"protein_coding","Polar bear","KK498651.1",1.48815,"troponin T3, fast skeletal type [Source:NCBI gene;Acc:103671052]",59.84,2,8818,747,747,NA,NA,7
"ENSUMAG00000018654"," RAB31","ENSUMAG00000018654",103664625,"protein_coding","Polar bear","KK498513.1",1.49616,"RAB31, member RAS oncogene family [Source:NCBI gene;Acc:103664625]",42.97,3,74153,473,1619,30,3407,6
"ENSUMAG00000017467"," TRIM44","ENSUMAG00000017467",NA,"protein_coding","Polar bear","KK498561.1",1.497419,"tripartite motif containing 44 [Source:HGNC Symbol;Acc:HGNC:19016]",40.46,2,46627,1270,1558,NA,576,4
